,parameter_name,experiment_id,metabolite_id,mic_id,enzyme_id,phos_enz_id,drain_id,value
0,km,,,adn_c,AHC1,,,0.00262728
1,km,,,ahcys_c,AHC1,,,0.762338
2,km,,,hcys-L_c,AHC1,,,0.00797758
3,km,,,dmgly_c,BHMT1,,,0.0026944
4,km,,,glyb_c,BHMT1,,,1.96768
5,km,,,hcys-L_c,BHMT1,,,0.0209067
6,km,,,met-L_c,BHMT1,,,0.00127783
7,km,,,cyst-L_c,CBS1,,,0.00173185
8,km,,,hcys-L_c,CBS1,,,0.0239205
9,km,,,ser-L_c,CBS1,,,0.00267054
10,km,,,amet_c,GNMT1,,,0.0781892
11,km,,,gly_c,GNMT1,,,0.786381
12,km,,,atp_c,MAT1,,,0.390925
13,km,,,met-L_c,MAT1,,,0.105779
14,km,,,atp_c,MAT3,,,1.18817
15,km,,,met-L_c,MAT3,,,0.627418
16,km,,,ahcys_c,METH_Gen,,,0.0112755
17,km,,,amet_c,METH_Gen,,,0.00951438
18,km,,,cmga_c,METH_Gen,,,0.00657766
19,km,,,mga_c,METH_Gen,,,0.00664167
20,km,,,5mthf_c,MS1,,,0.0893597
21,km,,,hcys-L_c,MS1,,,0.00177306
22,km,,,met-L_c,MS1,,,0.0332733
23,km,,,thf_c,MS1,,,0.0201157
24,km,,,mlthf_c,MTHFR1,,,0.080062
25,km,,,nadph_c,MTHFR1,,,0.0207355
0,drain,dataset_1,,,,,PROT,0.134388
1,drain,dataset_2,,,,,PROT,0.147816
2,drain,dataset_1,,,,,met-L_source,0.805903
3,drain,dataset_2,,,,,met-L_source,1.14649
0,ki,,,ahcys_c,GNMT1,,,0.0273199
1,ki,,,5mthf_c,METH_Gen,,,0.00240978
0,diss_t,,,mlthf_c,GNMT1,,,0.631296
1,diss_t,,,amet_c,MTHFR1,,,0.00493675
0,diss_r,,,amet_c,CBS1,,,0.179795
1,diss_r,,,amet_c,GNMT1,,,0.289486
2,diss_r,,,amet_c,MAT3,,,0.0637372
3,diss_r,,,ahcys_c,MTHFR1,,,0.000765925
0,transfer_constant,,,,CBS1,,,1.18817
1,transfer_constant,,,,GNMT1,,,1.35265
2,transfer_constant,,,,MAT3,,,0.179344
3,transfer_constant,,,,MTHFR1,,,0.402431
0,kcat,,,,AHC1,,,253.509
1,kcat,,,,BHMT1,,,13.0074
2,kcat,,,,CBS1,,,14.2271
3,kcat,,,,GNMT1,,,10.6739
4,kcat,,,,MAT1,,,4.44238
5,kcat,,,,MAT3,,,15.8244
6,kcat,,,,METH_Gen,,,3.49153
7,kcat,,,,MS1,,,1.99835
8,kcat,,,,MTHFR1,,,2.27286
0,conc_unbalanced,dataset_1,,adn_c,,,,0.00307586
1,conc_unbalanced,dataset_2,,adn_c,,,,0.00629521
2,conc_unbalanced,dataset_1,,atp_c,,,,1.4183
3,conc_unbalanced,dataset_2,,atp_c,,,,1.38759
4,conc_unbalanced,dataset_1,,cmga_c,,,,0.754485
5,conc_unbalanced,dataset_2,,cmga_c,,,,4.15114
